site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
P403 06JAN06 2006.0151 53741 1356 5 -124.1  -3046 -0.566893   5325357  0.306137   284  0.660795  0.0083 0.000736 0.001074 0.003169 -0.016113 -0.062742 -0.124935  48.0623218614 -124.1408751976   284.66080
P403 06JAN07 2006.0178 53742 1356 6 -124.1  -3046 -0.564988   5325357  0.308752   284  0.663076  0.0083 0.000725 0.001060 0.003051 -0.022533 -0.036668 -0.148917  48.0623218845 -124.1408751725   284.66308
P403 06JAN08 2006.0205 53743 1357 0 -124.1  -3046 -0.564389   5325357  0.309305   284  0.671887  0.0083 0.000742 0.001057 0.003122 -0.023574 -0.042031 -0.145377  48.0623218892 -124.1408751650   284.67189
P403 06JAN09 2006.0233 53744 1357 1 -124.1  -3046 -0.566178   5325357  0.306361   284  0.661902  0.0083 0.000753 0.001084 0.003199 -0.026967 -0.022948 -0.159829  48.0623218623 -124.1408751895   284.66190
P403 06JAN10 2006.0260 53745 1357 2 -124.1  -3046 -0.565007   5325357  0.306835   284  0.670607  0.0083 0.000746 0.001063 0.003143 -0.031792 -0.040689 -0.137307  48.0623218662 -124.1408751743   284.67061
P403 06JAN11 2006.0287 53746 1357 3 -124.1  -3046 -0.564376   5325357  0.307882   284  0.673992  0.0083 0.000719 0.001061 0.003048 -0.015260 -0.062957 -0.147891  48.0623218753 -124.1408751664   284.67399
P403 06JAN12 2006.0315 53747 1357 4 -124.1  -3046 -0.563756   5325357  0.310887   284  0.665963  0.0083 0.000725 0.001050 0.003052 -0.014961 -0.056413 -0.141834  48.0623219020 -124.1408751586   284.66596
P403 06JAN13 2006.0342 53748 1357 5 -124.1  -3046 -0.563899   5325357  0.303414   284  0.664951  0.0083 0.000714 0.001056 0.003061 -0.020686 -0.038565 -0.179320  48.0623218344 -124.1408751609   284.66495
P403 06JAN14 2006.0370 53749 1357 6 -124.1  -3046 -0.562869   5325357  0.309091   284  0.668725  0.0083 0.000719 0.001055 0.003058 -0.040561 -0.053176 -0.185373  48.0623218851 -124.1408751477   284.66872
P403 06JAN15 2006.0397 53750 1358 0 -124.1  -3046 -0.562395   5325357  0.309461   284  0.666059  0.0083 0.000725 0.001051 0.003068 -0.022292 -0.064147 -0.193453  48.0623218881 -124.1408751418   284.66606
P403 06JAN16 2006.0424 53751 1358 1 -124.1  -3046 -0.563536   5325357  0.308612   284  0.667224  0.0083 0.000713 0.001050 0.003051 -0.013506 -0.072324 -0.192032  48.0623218801 -124.1408751576   284.66722
P403 06JAN17 2006.0452 53752 1358 2 -124.1  -3046 -0.567797   5325357  0.305555   284  0.665030  0.0083 0.000755 0.001086 0.003176 -0.003289 -0.066184 -0.182694  48.0623218523 -124.1408752153   284.66503
